filename,filepath,type,temperature_K,configuration,n_frames,n_atoms,total_particles,file_size_MB,quality_status,error
2L_octo_Cr2_1200K_aimd_1.xyz,data/raw/temperature/2L_octo_Cr2_1200K_aimd_1.xyz,concentration,1200.0,2L_octo_Cr2,780,82,63960,0.76752,WARN,
2L_octo_Cr2_300K_aimd_1.xyz,data/raw/temperature/2L_octo_Cr2_300K_aimd_1.xyz,concentration,300.0,2L_octo_Cr2,987,82,80934,0.971208,WARN,
2L_octo_Cr2_600K_aimd_1.xyz,data/raw/temperature/2L_octo_Cr2_600K_aimd_1.xyz,concentration,600.0,2L_octo_Cr2,1727,82,141614,1.699368,WARN,
sampled_trajectory_Cr2_temp.xyz,data/raw/temperature/sampled_trajectory_Cr2_temp.xyz,,,,150,82,12300,0.1476,WARN,
2L_o3_t1_600K_aimd_1.xyz,data/raw/concentration/2L_o3_t1_600K_aimd_1.xyz,concentration,600.0,2L_o3_t1,1048,84,88032,1.056384,WARN,
2L_o3_t2_600K_aimd_1.xyz,data/raw/concentration/2L_o3_t2_600K_aimd_1.xyz,concentration,600.0,2L_o3_t2,1226,85,104210,1.25052,PASS,
2L_o3_t3_600K_aimd_1.xyz,data/raw/concentration/2L_o3_t3_600K_aimd_1.xyz,concentration,600.0,2L_o3_t3,1532,86,131752,1.581024,WARN,
2L_octo_Cr1_600K_aimd_1.xyz,data/raw/concentration/2L_octo_Cr1_600K_aimd_1.xyz,concentration,600.0,2L_octo_Cr1,92,81,7452,0.089424,WARN,
2L_octo_Cr2_600K_aimd_1.xyz,data/raw/concentration/2L_octo_Cr2_600K_aimd_1.xyz,concentration,600.0,2L_octo_Cr2,1727,82,141614,1.699368,WARN,
2L_octo_Cr2_v2_600K_aimd_1.xyz,data/raw/concentration/2L_octo_Cr2_v2_600K_aimd_1.xyz,concentration,600.0,2L_octo_Cr2,1755,82,143910,1.72692,WARN,
2L_octo_Cr3_600K_aimd_1.xyz,data/raw/concentration/2L_octo_Cr3_600K_aimd_1.xyz,concentration,600.0,2L_octo_Cr3,1359,83,112797,1.353564,WARN,
aimd_merged_traj_bulk.xyz,data/raw/concentration/aimd_merged_traj_bulk.xyz,,,,4633,80,370640,4.44768,WARN,
mlff-neb_optm-Cr2_v2.xyz,data/raw/mlff/mlff-neb_optm-Cr2_v2.xyz,mlff,,MLFF-NEB,8038,82,659116,7.909392,WARN,
