file,start,end,label,n_atoms,temperature_K,configuration
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,0,50,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,10,60,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,20,70,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,30,80,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,40,90,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,50,100,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,60,110,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,70,120,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,80,130,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,90,140,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,100,150,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,110,160,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,120,170,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,130,180,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,140,190,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,150,200,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,160,210,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,170,220,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,180,230,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,190,240,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,200,250,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,210,260,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,220,270,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,230,280,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,240,290,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,250,300,mlff,2050,600.0,2L_octo_Cr2
2L_octo_Cr2_v2_relax_maceMD_eval_5x5x1_T600K-naitve.xyz,260,310,mlff,2050,600.0,2L_octo_Cr2
