feature,aimd_mean,mlff_mean,aimd_std,z_score,relative_change_%
frame_variance,2.524086e-07,1.3738385,5.220477e-07,2631129.8,544075900.0
disp_p95,0.005517946,41.613842,0.0049104127,8473.488,754054.56
disp_median,0.0028998975,17.052166,0.0023637097,7212.9272,587926.5
msd_mean,0.01325738,470.26373,0.070337124,6685.6655,3547084.8
msd_std,0.010366289,284.02267,0.045194704,6284.1943,2739768.2
disp_mean,0.003172547,19.104025,0.0038081412,5015.7944,602066.8
msd_final,0.032583244,611.608,0.12612842,4848.831,1876962.9
rms_velocity,0.0041339686,22.511726,0.012170924,1849.2921,544454.9
disp_std,0.0022184525,11.749434,0.011650436,1008.307,529523.0
energy_std,0.21817884,291.91162,0.31904316,914.2758,133694.66
disp_max,0.024279976,60.8169,0.2017832,301.27692,250381.72
msd_slope,0.00067147485,0.39860496,0.002804387,141.89679,59262.59
energy_trend,0.003754804,0.124556534,0.024444835,4.94181,3217.258
dominant_freq,0.08045665,0.305075,0.12937331,1.7362031,279.17932
spectral_peak_ratio,0.69161135,0.830892,0.22307569,0.6243651,20.138577
crest_factor,2.772283,3.5597446,1.2689931,0.6205404,28.404802
energy_mean,-158634.58,-179363.7,37875.36,-0.54729843,-13.067217
disp_skew,0.85638493,1.3319584,0.88087666,0.5398866,55.532677
disp_kurtosis,2.259257,5.491292,7.3913474,0.43727276,143.05742
impulse_factor,3.314276,5.3866425,4.798908,0.43184122,62.528484
spectral_entropy,1.7386547,1.5233169,0.7579705,-0.28409797,-12.385316
anisotropy,1.3767048,1.3803949,0.3299368,0.011184335,0.2680403
